nom;prenom;identifiant_lc;domaine
Verhaeren;Emile;[PQ2459.V8-.V9];litterature
Verlaine;Paul Marie;[PQ2463-2467];litterature
Verne;Jules;PQ2469;litterature
Veuillot;Louis-François;PQ2471.V7;litterature
Vielé-Griffin;Francis;PQ2643.I3;litterature
Vigné d'Octon;Paul;PQ2473.V8 T4 1892;litterature
Villiers de l'Isle-Adam;Jean Marie Mathias Philippe Auguste;PQ2476.V4;litterature
Virmaitre;Charles;HV8621.F8 V57 1985;litterature
Vivien;Renée;PQ2643.I9;litterature
Vollard;Ambroise;PQ2643.O48 A6 1994;litterature
Warnod;André;PN5183.W3 A3;litterature
Weil;Armand;PC2117 .W49;litterature
Whistler;James A. McNeil;PS595.W398;litterature
Wilde;Oscar;[PR5810-5828];litterature
Willy;;PQ2257.G8;litterature
Zo d'Axa;;HX893 .G34;litterature
Zola;Emile;PQ2489-2548;litterature
Zweig;Stefan;PT2653.W42;litterature
